CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
California,sfbay,nby,apts/housing for rent,6979841182,None,Look and Lease Same Day and Get $300 Off Move In Cost,https://sfbay.craigslist.org/nby/apa/d/napa-look-and-lease-same-day-and-get/6979841182.html,2019-09-16,09:34,$1795,Napa,True,None,1,690ft2
California,sfbay,nby,apts/housing for rent,6979852939,None,Northwest Santa Rosa 3 Bed/2.5 Bath + Finished Garage,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-northwest-santa-rosa-3-bed/6979852939.html,2019-09-16,09:34,$2900,santa rosa,True,None,3,1830ft2
California,sfbay,nby,apts/housing for rent,6979852792,None,Pick An Awesome Move-In Gift! 2 Bedroom 1 Bath Apartment,https://sfbay.craigslist.org/nby/apa/d/napa-pick-an-awesome-move-in-gift-2/6979852792.html,2019-09-16,09:34,$2490,napa county,True,None,2,932ft2
California,sfbay,nby,apts/housing for rent,6979852515,None,Remodeled Eichler Home on Corner Lot with Great Backyard,https://sfbay.craigslist.org/nby/apa/d/san-rafael-remodeled-eichler-home-on/6979852515.html,2019-09-16,09:34,$4000,novato,True,None,3,1533ft2
California,sfbay,nby,apts/housing for rent,6976033527,6793655276,Apartment for rent. Washer/Dryer in Unit. Gated Complex,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-apartment-for-rent-washer/6976033527.html,2019-09-16,09:33,$1760,santa rosa,True,None,2,765ft2
California,sfbay,nby,apts/housing for rent,6971296105,None,Amazing Home in the Baypoint neighborhood!,https://sfbay.craigslist.org/nby/apa/d/san-rafael-amazing-home-in-the-baypoint/6971296105.html,2019-09-16,09:32,$4500,san rafael,True,None,4,2412ft2
California,sfbay,nby,apts/housing for rent,6978031298,None,"Spacious 1 Bedroom Apt., Walk to Downtown!",https://sfbay.craigslist.org/nby/apa/d/san-anselmo-spacious-1-bedroom-apt-walk/6978031298.html,2019-09-16,09:32,$2450,san anselmo,True,None,1,889ft2
California,sfbay,nby,apts/housing for rent,6969827163,6861264669,Spacious 2 Bedroom Apartment for Rent,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-spacious-2-bedroom-apartment/6969827163.html,2019-09-16,09:32,$1895,santa rosa,True,None,2,885ft2
California,sfbay,nby,apts/housing for rent,6979850601,6951028301,Beautiful 2 Bedroom Apartment For Rent,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-beautiful-2-bedroom/6979850601.html,2019-09-16,09:32,$1995,santa rosa,True,None,2,864ft2
California,sfbay,nby,apts/housing for rent,6978249480,None,SPECTACULAR LIVING IN A BEAUTIFUL COMMUNITY!,https://sfbay.craigslist.org/nby/apa/d/novato-spectacular-living-in-beautiful/6978249480.html,2019-09-16,09:31,$2675,None,True,None,1,650ft2
California,sfbay,nby,apts/housing for rent,6969826452,6771058496,Tranquil 2 Bedroom Apartment for rent,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-tranquil-2-bedroom-apartment/6969826452.html,2019-09-16,09:31,$1995,santa rosa,True,None,2,864ft2
California,sfbay,nby,apts/housing for rent,6969825854,6820160847,Private 2 Bedroom Apartment for Rent,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-private-2-bedroom-apartment/6969825854.html,2019-09-16,09:31,$1995,santa rosa,True,None,2,864ft2
California,sfbay,nby,apts/housing for rent,6959983216,6771044850,Craftsman-Style 2 Bedroom Apartment For Rent,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-craftsman-style-2-bedroom/6959983216.html,2019-09-16,09:31,$1995,santa rosa,True,None,2,864ft2
California,sfbay,nby,apts/housing for rent,6965094422,None,"We Made it Easy, Just $250 Deposit & Move in Today Upon Approval!!!",https://sfbay.craigslist.org/nby/apa/d/san-rafael-we-made-it-easy-just-250/6965094422.html,2019-09-16,09:30,$2255,san rafael,True,None,1,735ft2
California,sfbay,nby,apts/housing for rent,6979849313,None,"Move In Now, $500 Deposit, rest of September Free",https://sfbay.craigslist.org/nby/apa/d/santa-rosa-move-in-now-500-deposit-rest/6979849313.html,2019-09-16,09:30,$2143,santa rosa,True,None,2,None
California,sfbay,nby,apts/housing for rent,6979848038,None,"TWO BEDROOM, TWO BATHROOM, RENOVATED, APPLY TODAY!!",https://sfbay.craigslist.org/nby/apa/d/santa-rosa-two-bedroom-two-bathroom/6979848038.html,2019-09-16,09:29,$2050,santa rosa,True,None,2,908ft2
California,sfbay,nby,apts/housing for rent,6979736726,None,4 bedrm/four bathroom House healdsburg / windsor,https://sfbay.craigslist.org/nby/apa/d/4-bedrm-four-bathroom-house-healdsburg/6979736726.html,2019-09-16,09:29,$809,healdsburg / windsor,True,None,3,1630ft2
California,sfbay,nby,apts/housing for rent,6963027491,6957312424,Lakeside living with a spectacular view in Lake Berryessa,https://sfbay.craigslist.org/nby/apa/d/napa-lakeside-living-with-spectacular/6963027491.html,2019-09-16,09:29,$1800,napa county,True,None,3,1128ft2
California,sfbay,nby,apts/housing for rent,6965019944,6714383180,Quiet Two Bedroom Apartment for Rent,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-quiet-two-bedroom-apartment/6965019944.html,2019-09-16,09:28,$2100,santa rosa,True,None,2,885ft2
California,sfbay,nby,apts/housing for rent,6972803198,6409762707,*MOBILE HOME & RV SPACES *From $325/mo + Utilities in Waterfront Parks,https://sfbay.craigslist.org/nby/apa/d/lakeport-mobile-home-rv-spaces-from-325/6972803198.html,2019-09-16,09:28,$325,lake county,True,None,None,None
California,sfbay,nby,apts/housing for rent,6979846592,None,Active	 First Floor RENOVATED One Bedroom,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-active-first-floor-renovated/6979846592.html,2019-09-16,09:28,$1695,santa rosa,True,None,1,686ft2
California,sfbay,nby,apts/housing for rent,6979845576,None,Live the Lifestyle You Deserve,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-live-the-lifestyle-you/6979845576.html,2019-09-16,09:27,$1695,santa rosa,True,None,1,686ft2
California,sfbay,nby,apts/housing for rent,6976721105,None,"Granite Slab Kitchen Counter Tops, Large Floor Plans, Cat 5 Wiring",https://sfbay.craigslist.org/nby/apa/d/novato-granite-slab-kitchen-counter/6976721105.html,2019-09-16,09:27,$3151,novato,True,None,1,891ft2
California,sfbay,nby,apts/housing for rent,6970447249,6965320137,49 Valley Club Circle - Premier Gated Community,https://sfbay.craigslist.org/nby/apa/d/napa-49-valley-club-circle-premier/6970447249.html,2019-09-16,09:26,$2750,napa county,True,None,2,1080ft2
California,sfbay,nby,apts/housing for rent,6970652567,6950805053,3141 Valley Green Lane - Single Story Unit Remodeled in Browns Valley,https://sfbay.craigslist.org/nby/apa/d/napa-3141-valley-green-lane-single/6970652567.html,2019-09-16,09:26,$2300,napa county,True,None,2,955ft2
California,sfbay,nby,apts/housing for rent,6979845061,None,"First floor 1x1 in Rincon Valley - Pool, BBQ and more!",https://sfbay.craigslist.org/nby/apa/d/santa-rosa-first-floor-1x1-in-rincon/6979845061.html,2019-09-16,09:26,$1795,santa rosa,True,None,1,641ft2
California,sfbay,nby,apts/housing for rent,6971398526,4835229688,Beautiful Remodeled Garage Unit,https://sfbay.craigslist.org/nby/apa/d/beautiful-remodeled-garage-unit/6971398526.html,2019-09-16,09:26,$2300,sebastopol,True,None,2,None
California,sfbay,nby,apts/housing for rent,6970653538,6706277901,515 Silverado Trail - Freshly Updated Home Near Downtown Napa,https://sfbay.craigslist.org/nby/apa/d/napa-515-silverado-trail-freshly/6970653538.html,2019-09-16,09:25,$2750,napa county,True,None,3,1400ft2
California,sfbay,nby,apts/housing for rent,6970657204,6513771951,1043 Barrow Lane Gated 5 Acre East Napa Estate W/ 2 Barns and Pool,https://sfbay.craigslist.org/nby/apa/d/napa-1043-barrow-lane-gated-5-acre-east/6970657204.html,2019-09-16,09:25,$6000,napa county,True,None,4,3234ft2
California,sfbay,nby,apts/housing for rent,6972193554,6738015012,1419 Maxwell Drive - Beautiful Alta Heights Home,https://sfbay.craigslist.org/nby/apa/d/napa-1419-maxwell-drive-beautiful-alta/6972193554.html,2019-09-16,09:25,$4000,napa county,True,None,3,None
California,sfbay,nby,apts/housing for rent,6976702264,None,NEW Build 2019,https://sfbay.craigslist.org/nby/apa/d/yountville-new-build-2019/6976702264.html,2019-09-16,09:25,$2900,napa county,True,None,3,None
California,sfbay,nby,apts/housing for rent,6979841794,None,"At Last, This Is What You’ve Been Searching For",https://sfbay.craigslist.org/nby/apa/d/rohnert-park-at-last-this-is-what-youve/6979841794.html,2019-09-16,09:23,$2850,rohnert pk / cotati,True,None,2,1551ft2
California,sfbay,nby,apts/housing for rent,6976449471,None,Your New Home with Renaissance Apartments!,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-your-new-home-with/6976449471.html,2019-09-16,09:23,$2000,None,True,None,1,744ft2
California,sfbay,nby,apts/housing for rent,6979841451,6938900718,"Quiet and private, top floor, corner unit with incredible views.",https://sfbay.craigslist.org/nby/apa/d/mill-valley-quiet-and-private-top-floor/6979841451.html,2019-09-16,09:22,$3995,sausalito,True,None,1,825ft2
California,sfbay,nby,apts/housing for rent,6963374636,6923810370,Lovely home in San Marin,https://sfbay.craigslist.org/nby/apa/d/novato-lovely-home-in-san-marin/6963374636.html,2019-09-16,09:22,$4225,santa rosa,True,None,5,2378ft2
California,sfbay,nby,apts/housing for rent,6963374176,6923810370,Lovely home in San Marin,https://sfbay.craigslist.org/nby/apa/d/novato-lovely-home-in-san-marin/6963374176.html,2019-09-16,09:22,$4225,santa rosa,True,None,5,2378ft2
California,sfbay,nby,apts/housing for rent,6963374912,6938900718,"Quiet and private, top floor, corner unit with incredible views.",https://sfbay.craigslist.org/nby/apa/d/mill-valley-quiet-and-private-top-floor/6963374912.html,2019-09-16,09:22,$3995,sausalito,True,None,1,825ft2
California,sfbay,nby,apts/housing for rent,6976545577,None,One bedroom mobile home,https://sfbay.craigslist.org/nby/apa/d/petaluma-one-bedroom-mobile-home/6976545577.html,2019-09-16,09:21,$1200,petaluma,False,None,1,None
California,sfbay,nby,apts/housing for rent,6979840031,6953749432,Forestville Russian River BEACH Bungalow,https://sfbay.craigslist.org/nby/apa/d/forestville-forestville-russian-river/6979840031.html,2019-09-16,09:21,$1750,sonoma,True,None,1,550ft2
California,sfbay,nby,apts/housing for rent,6976433923,None,1.5 Bedroom In-law unit with full utilities (includes Cable & WIFI),https://sfbay.craigslist.org/nby/apa/d/napa-15-bedroom-in-law-unit-with-full/6976433923.html,2019-09-16,09:21,$2000,napa county,True,None,1,620ft2
California,sfbay,nby,apts/housing for rent,6979838405,None,Lovely two bedroom,https://sfbay.craigslist.org/nby/apa/d/sebastopol-lovely-two-bedroom/6979838405.html,2019-09-16,09:19,$1675,sebastopol,True,None,2,775ft2
California,sfbay,nby,apts/housing for rent,6966225025,None,"Brand new 2 bed, 1.5 bath",https://sfbay.craigslist.org/nby/apa/d/rohnert-park-brand-new-2-bed-15-bath/6966225025.html,2019-09-16,09:19,$2250,rohnert pk / cotati,True,None,2,900ft2
California,sfbay,nby,apts/housing for rent,6966228751,None,"Brand new 3 bed, 2 bath",https://sfbay.craigslist.org/nby/apa/d/rohnert-park-brand-new-3-bed-2-bath/6966228751.html,2019-09-16,09:19,$2850,rohnert pk / cotati,True,None,3,1250ft2
California,sfbay,nby,apts/housing for rent,6966231390,None,"Brand new 2 bed, 1 bath",https://sfbay.craigslist.org/nby/apa/d/rohnert-park-brand-new-2-bed-1-bath/6966231390.html,2019-09-16,09:19,$2150,rohnert pk / cotati,True,None,2,850ft2
California,sfbay,nby,apts/housing for rent,6979821096,None,**Two Weeks Rent Free~ Beautiful Remodeled Apartment Homes**,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-two-weeks-rent-free/6979821096.html,2019-09-16,09:19,$2695,santa rosa,True,None,3,1142ft2
California,sfbay,nby,apts/housing for rent,6975183424,None,Beautiful ground floor 1 Bedroom Apt.,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-beautiful-ground-floor-1/6975183424.html,2019-09-16,09:19,$1500,santa rosa,True,None,1,612ft2
California,sfbay,nby,apts/housing for rent,6979837460,6823251467,1 Bedroom In The Heart of Sonoma! Village Green  Senior Apartments!,https://sfbay.craigslist.org/nby/apa/d/sonoma-1-bedroom-in-the-heart-of-sonoma/6979837460.html,2019-09-16,09:18,$1850,sonoma,True,None,1,675ft2
California,sfbay,nby,apts/housing for rent,6977993704,6925439422,Brand New Townhome Style Residences,https://sfbay.craigslist.org/nby/apa/d/sonoma-brand-new-townhome-style/6977993704.html,2019-09-16,09:18,$3000,sonoma,True,None,2,None
California,sfbay,nby,apts/housing for rent,6971533835,6042774181,Secluded Home With Amazing Views,https://sfbay.craigslist.org/nby/apa/d/secluded-home-with-amazing-views/6971533835.html,2019-09-16,09:18,$4100,sonoma,True,None,3,None
California,sfbay,nby,apts/housing for rent,6972293560,6286644231,Ideally Located Comfortable Duplex Unit Close to the Sonoma Square,https://sfbay.craigslist.org/nby/apa/d/ideally-located-comfortable-duplex-unit/6972293560.html,2019-09-16,09:18,$2000,sonoma,True,None,2,None
California,sfbay,nby,apts/housing for rent,6977398266,None,Furnished Single Level Condo Unit Close To Town,https://sfbay.craigslist.org/nby/apa/d/el-verano-furnished-single-level-condo/6977398266.html,2019-09-16,09:18,$1800,sonoma,True,None,2,None
California,sfbay,nby,apts/housing for rent,6977088715,5907963371,Newly Updated Upstairs Unit,https://sfbay.craigslist.org/nby/apa/d/newly-updated-upstairs-unit/6977088715.html,2019-09-16,09:18,$1550,sonoma,True,None,2,None
California,sfbay,nby,apts/housing for rent,6979836934,None,The Only Unit We Have! Spacious 1x1 Coming Soon!,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-the-only-unit-we-have/6979836934.html,2019-09-16,09:18,$2045,santa rosa,True,None,1,852ft2
California,sfbay,nby,apts/housing for rent,6970659538,None,Gorgeous Glen Ellen Stone Retreat,https://sfbay.craigslist.org/nby/apa/d/el-verano-gorgeous-glen-ellen-stone/6970659538.html,2019-09-16,09:18,$12000,sonoma,True,None,4,None
California,sfbay,nby,apts/housing for rent,6967354831,6163539737,Perfectly Located ON the Square at the Sonoma Court Shops,https://sfbay.craigslist.org/nby/apa/d/perfectly-located-on-the-square-at-the/6967354831.html,2019-09-16,09:18,$2100,sonoma,True,None,1,None
California,sfbay,nby,apts/housing for rent,6967200366,5815896168,Upstairs Studio Unit Just Minutes From Downtown Sonoma,https://sfbay.craigslist.org/nby/apa/d/upstairs-studio-unit-just-minutes-from/6967200366.html,2019-09-16,09:18,$1245,sonoma,True,None,None,None
California,sfbay,nby,apts/housing for rent,6977995181,6925432283,Brand New Townhome Style Residences,https://sfbay.craigslist.org/nby/apa/d/sonoma-brand-new-townhome-style/6977995181.html,2019-09-16,09:18,$3500,sonoma,True,None,2,None
California,sfbay,nby,apts/housing for rent,6975056811,5811688008,Single Level Home Great Location Close to Town & Plaza,https://sfbay.craigslist.org/nby/apa/d/single-level-home-great-location-close/6975056811.html,2019-09-16,09:18,$2650,sonoma,True,None,3,None
California,sfbay,nby,apts/housing for rent,6978001479,6914914139,Single Level Cute Home,https://sfbay.craigslist.org/nby/apa/d/sonoma-single-level-cute-home/6978001479.html,2019-09-16,09:17,$1900,sonoma,True,None,2,None
California,sfbay,nby,apts/housing for rent,6977802660,6720781822,BEAUTIFUL Townhome by SRJC - W&D in unit!!!,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-beautiful-townhome-by-srjc/6977802660.html,2019-09-16,09:13,$2250,santa rosa,True,None,2,1000ft2
California,sfbay,nby,apts/housing for rent,6959552715,6923210902,"Historically-Student Housing, RV & Trailer, easy walk to Sonoma State!",https://sfbay.craigslist.org/nby/apa/d/rohnert-park-historically-student/6959552715.html,2019-09-16,09:13,$1099,rohnert pk / cotati,True,None,None,None
California,sfbay,nby,apts/housing for rent,6977803298,6533541180,Beautiful Remodeled Townhome JC Neighborhood!,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-beautiful-remodeled-townhome/6977803298.html,2019-09-16,09:13,$2250,santa rosa,True,None,2,1000ft2
California,sfbay,nby,apts/housing for rent,6977805922,6720781822,BEAUTIFUL Townhome by SRJC - W&D in unit!!!,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-beautiful-townhome-by-srjc/6977805922.html,2019-09-16,09:13,$2250,santa rosa,True,None,2,1000ft2
California,sfbay,nby,apts/housing for rent,6966361779,None,"Peaceful, Private One Bedroom Cottage To Stay Available For Rent",https://sfbay.craigslist.org/nby/apa/d/el-verano-peaceful-private-one-bedroom/6966361779.html,2019-09-16,09:10,$1700,Sonoma,True,None,1,None
California,sfbay,nby,apts/housing for rent,6967935163,6900114330,SPACES in 5 Mobile Home/RV Parks *from $325/mo+Utilities *On Clearlake,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-spaces-in-5-mobile-home-rv/6967935163.html,2019-09-16,09:10,$325,santa rosa,True,None,None,None
California,sfbay,nby,apts/housing for rent,6979828995,6960245428,3 bed 2 bath home in Windsor $3000,https://sfbay.craigslist.org/nby/apa/d/windsor-3-bed-2-bath-home-in-windsor/6979828995.html,2019-09-16,09:10,$3000,healdsburg / windsor,True,None,3,1528ft2
California,sfbay,nby,apts/housing for rent,6977753834,6945041019,upcoming 2 Bedroom/2 Bath apartment,https://sfbay.craigslist.org/nby/apa/d/san-rafael-upcoming-2-bedroom-2-bath/6977753834.html,2019-09-16,09:09,$2600,novato,True,None,2,None
California,sfbay,nby,apts/housing for rent,6977754496,6935952307,Beautiful 2 bedroom Apartment- Mid October,https://sfbay.craigslist.org/nby/apa/d/san-rafael-beautiful-2-bedroom/6977754496.html,2019-09-16,09:09,$2600,novato,True,None,2,1250ft2
California,sfbay,nby,apts/housing for rent,6977951623,6935952307,Beautiful 2 bedroom - Mid October,https://sfbay.craigslist.org/nby/apa/d/san-rafael-beautiful-2-bedroom-mid/6977951623.html,2019-09-16,09:09,$2600,novato,True,None,2,1100ft2
California,sfbay,nby,apts/housing for rent,6969454850,6944710873,Bright Sunny Cottage For Lease!,https://sfbay.craigslist.org/nby/apa/d/mill-valley-bright-sunny-cottage-for/6969454850.html,2019-09-16,09:08,$2500,mill valley,True,None,None,400ft2
California,sfbay,nby,apts/housing for rent,6965797701,6939253442,Awesome studio in Gerstle Park,https://sfbay.craigslist.org/nby/apa/d/san-rafael-awesome-studio-in-gerstle/6965797701.html,2019-09-16,09:06,$1600,san rafael,True,None,1,300ft2
California,sfbay,nby,apts/housing for rent,6978125726,None,We've Got Tours Available for THIS 1 Bedroom w/ Den! In Santa Rosa!,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-weve-got-tours-available-for/6978125726.html,2019-09-16,09:05,$2265,None,True,None,1,1000ft2
California,sfbay,nby,apts/housing for rent,6979822963,6837507310,3bed 2.5 bath house for rent,https://sfbay.craigslist.org/nby/apa/d/fulton-3bed-25-bath-house-for-rent/6979822963.html,2019-09-16,09:04,$3800,santa rosa,True,None,3,1700ft2
California,sfbay,nby,apts/housing for rent,6979822505,None,"Peaceful, private, perfect!, Large redwood decks, Majestic views",https://sfbay.craigslist.org/nby/apa/d/san-anselmo-peaceful-private-perfect/6979822505.html,2019-09-16,09:03,$3000,san anselmo,True,None,2,1060ft2
California,sfbay,nby,apts/housing for rent,6977842453,6959969789,Most STUNNING Views in Tiburon! 4BR/2BA! 4 Car Parking! Large Yard!,https://sfbay.craigslist.org/nby/apa/d/belvedere-tiburon-most-stunning-views/6977842453.html,2019-09-16,09:03,$7995,tiburon / belvedere,True,None,4,None
California,sfbay,nby,apts/housing for rent,6977834786,6960329438,"Sunny Terra Linda 2 Bed/1 Bath, Parking! Storage! Pool!",https://sfbay.craigslist.org/nby/apa/d/san-rafael-sunny-terra-linda-2-bed-1/6977834786.html,2019-09-16,09:03,$2295,san rafael,True,None,2,None
California,sfbay,nby,apts/housing for rent,6971429576,6543045452,Lakeshore Cottage,https://sfbay.craigslist.org/nby/apa/d/nice-lakeshore-cottage/6971429576.html,2019-09-16,09:01,$1250,lake county,True,None,None,500ft2
California,sfbay,nby,apts/housing for rent,6979818908,None,"GERSTLE PARK TOWNHOUSE, PRIVATE GARDEN, HARDWOOD, FIREPLACE, POOL",https://sfbay.craigslist.org/nby/apa/d/kentfield-gerstle-park-townhouse/6979818908.html,2019-09-16,09:00,$3600,san rafael,True,None,3,None
California,sfbay,nby,apts/housing for rent,6976636931,None,Modern lower duplex in Armstrong Woods Valley,https://sfbay.craigslist.org/nby/apa/d/guerneville-modern-lower-duplex-in/6976636931.html,2019-09-16,08:58,$1750,russian river,True,None,1,625ft2
