CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
California,sfbay,eby,apts/housing for rent,6974399699,6893419340,Fully equipped to fit an urban lifestyle....,https://sfbay.craigslist.org/eby/apa/d/emeryville-fully-equipped-to-fit-an/6974399699.html,2019-09-16,14:22,$1854,emeryville,True,None,1,757ft2
California,sfbay,eby,apts/housing for rent,6980121319,None,Newly Renovated Kitchen and Three Full Baths!  $99.00 Deposit!,https://sfbay.craigslist.org/eby/apa/d/pleasanton-newly-renovated-kitchen-and/6980121319.html,2019-09-16,14:22,$3530,dublin / pleasanton / livermore,True,None,3,1305ft2
California,sfbay,eby,apts/housing for rent,6980121113,None,"Vaulted Ceilings, Cable Ready & Covered Parking!",https://sfbay.craigslist.org/eby/apa/d/fremont-vaulted-ceilings-cable-ready/6980121113.html,2019-09-16,14:21,$2359,fremont / union city / newark,True,None,1,730ft2
California,sfbay,eby,apts/housing for rent,6980055391,6873131942,BEAUTIFUL HOUSE FOR RENT IN SAN LEANDRO,https://sfbay.craigslist.org/eby/apa/d/san-leandro-beautiful-house-for-rent-in/6980055391.html,2019-09-16,14:21,$3000,fremont / union city / newark,False,None,3,1200ft2
California,sfbay,eby,apts/housing for rent,6980120779,None,Newly Renovated 3 Bedroom 2 Bath Apartment Home! Available Now!,https://sfbay.craigslist.org/eby/apa/d/hayward-newly-renovated-3-bedroom-2/6980120779.html,2019-09-16,14:21,$2695,hayward / castro valley,True,None,3,None
California,sfbay,eby,apts/housing for rent,6980120114,6973833002,Nice clean studio fresh paint cozy and an excellent location.,https://sfbay.craigslist.org/eby/apa/d/berkeley-nice-clean-studio-fresh-paint/6980120114.html,2019-09-16,14:20,$1599,berkeley,False,None,None,None
California,sfbay,eby,apts/housing for rent,6980119995,None,"""We have a beautiful 3 bed/2 bath you've been waiting for!""",https://sfbay.craigslist.org/eby/apa/d/antioch-we-have-beautiful-3-bed-2-bath/6980119995.html,2019-09-16,14:20,$2685,brentwood / oakley,True,None,3,1560ft2
California,sfbay,eby,apts/housing for rent,6980119818,6963200441,Only 2 Loft Style Homes Left Offering 2 WEEKS FREE! Don't Miss Out!,https://sfbay.craigslist.org/eby/apa/d/walnut-creek-only-2-loft-style-homes/6980119818.html,2019-09-16,14:20,$2207,walnut creek,True,None,1,605ft2
California,sfbay,eby,apts/housing for rent,6980119515,None,"1x1 Great price, Great location,Wifi Cafe, Yoga Studio, Fitness Center",https://sfbay.craigslist.org/eby/apa/d/oakland-1x1-great-price-great/6980119515.html,2019-09-16,14:19,$2718,oakland downtown,True,None,1,774ft2
California,sfbay,eby,apts/housing for rent,6980118762,6880158003,K Street Flats Is Actively Dating! It’s Soul Searching During This Lea,https://sfbay.craigslist.org/eby/apa/d/berkeley-street-flats-is-actively/6980118762.html,2019-09-16,14:18,$2995,berkeley,True,None,2,744ft2
California,sfbay,eby,apts/housing for rent,6980118726,None,Four bedroom 2 1/2 bath home for rent,https://sfbay.craigslist.org/eby/apa/d/pleasant-hill-four-bedroom-bath-home/6980118726.html,2019-09-16,14:18,$3400,concord / pleasant hill / martinez,True,None,4,1700ft2
California,sfbay,eby,apts/housing for rent,6980118696,None,"Stylish Features, EV Stations, Sparkling Pool",https://sfbay.craigslist.org/eby/apa/d/fremont-stylish-features-ev-stations/6980118696.html,2019-09-16,14:18,$3221,fremont / union city / newark,True,None,2,1106ft2
California,sfbay,eby,apts/housing for rent,6980118196,None,Oakview Apartments is a truly tucked away paradise,https://sfbay.craigslist.org/eby/apa/d/concord-oakview-apartments-is-truly/6980118196.html,2019-09-16,14:18,$1895,concord / pleasant hill / martinez,True,None,1,592ft2
California,sfbay,eby,apts/housing for rent,6980118179,None,"Pool, Soaking Tub, Dishwasher, Near Freeway",https://sfbay.craigslist.org/eby/apa/d/fairfield-pool-soaking-tub-dishwasher/6980118179.html,2019-09-16,14:18,$2122,fairfield / vacaville,True,None,1,975ft2
California,sfbay,eby,apts/housing for rent,6980117795,None,The newly renovated Californian Villas are truly one of a kind,https://sfbay.craigslist.org/eby/apa/d/concord-the-newly-renovated-californian/6980117795.html,2019-09-16,14:17,$1945,Concord,True,None,1,650ft2
California,sfbay,eby,apts/housing for rent,6980117166,4539377977,** NOW AVAILABLE **  -1 Bedroom&1Bath@1531 Shattuck ave**,https://sfbay.craigslist.org/eby/apa/d/berkeley-now-available-1/6980117166.html,2019-09-16,14:17,$2150,berkeley,True,None,1,None
California,sfbay,eby,apts/housing for rent,6980117028,None,"Top Floor, Private Balcony, Courtyard View, Gated, Energy Efficient",https://sfbay.craigslist.org/eby/apa/d/union-city-top-floor-private-balcony/6980117028.html,2019-09-16,14:16,$2765,fremont / union city / newark,True,None,1,694ft2
