CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
Alabama,auburn,auburn,apts/housing for rent,6984948785,6901416316,"24-Hour Fitness Center, Air Conditioning, Onsite Dog Park",https://auburn.craigslist.org/apa/d/valley-24-hour-fitness-center-air/6984948785.html,2019-09-23,14:45,$960,None,True,None,3,1252ft2
Alabama,auburn,auburn,apts/housing for rent,6984981952,None,"Newly renovated 3 Bedroom, 2.5 Bathroom Apartment for Rent!",https://auburn.craigslist.org/apa/d/auburn-newly-renovated-3-bedroom-25/6984981952.html,2019-09-23,14:43,$1355,"1322 N Dean Road Auburn, AL",True,None,3,1230ft2
Alabama,auburn,auburn,apts/housing for rent,6984968654,None,"1 Bedroom, 1 Bathroom Apartment for Rent!",https://auburn.craigslist.org/apa/d/auburn-1-bedroom-1-bathroom-apartment/6984968654.html,2019-09-23,14:29,$920,"1322 N Dean Road Auburn, AL",True,None,1,756ft2
Alabama,auburn,auburn,apts/housing for rent,6984937362,None,"Renovated 3 Bedroom, 2.5 Bathroom Apartment for Rent!",https://auburn.craigslist.org/apa/d/auburn-renovated-3-bedroom-25-bathroom/6984937362.html,2019-09-23,13:57,$1355,"1322 N Dean Road Auburn, AL",True,None,3,1230ft2
Alabama,auburn,auburn,apts/housing for rent,6984929560,None,"2 Bedroom, 2 Bathroom Apartment for Rent!",https://auburn.craigslist.org/apa/d/auburn-2-bedroom-2-bathroom-apartment/6984929560.html,2019-09-23,13:48,$1045,"1322 N Dean Road Auburn, AL",True,None,2,1025ft2
Alabama,auburn,auburn,apts/housing for rent,6963925118,None,Renovated 1 bedroom 1 bathroom for you in Auburn $300,https://auburn.craigslist.org/apa/d/auburn-renovated-1-bedroom-1-bathroom/6963925118.html,2019-09-23,13:48,$300,Auburn,True,None,1,None
Alabama,auburn,auburn,apts/housing for rent,6984921076,None,"Renovated 2 Bedroom, 2 Bathroom Apartment for Rent!",https://auburn.craigslist.org/apa/d/auburn-renovated-2-bedroom-2-bathroom/6984921076.html,2019-09-23,13:40,$1235,"1322 N Dean Road Auburn, AL",True,None,2,1025ft2
Alabama,auburn,auburn,apts/housing for rent,6984917257,None,Move in NOW!!!,https://auburn.craigslist.org/apa/d/auburn-move-in-now/6984917257.html,2019-09-23,13:36,$805,None,True,None,2,900ft2
Alabama,auburn,auburn,apts/housing for rent,6984900593,None,"1 Bedroom, 1 Bathroom Apartment for Rent!",https://auburn.craigslist.org/apa/d/auburn-1-bedroom-1-bathroom-apartment/6984900593.html,2019-09-23,13:20,$930,"1322 N Dean Road Auburn, AL",True,None,1,756ft2
Alabama,auburn,auburn,apts/housing for rent,6967329797,None,"Deluxe 19 Flooring, Central A/C",https://auburn.craigslist.org/apa/d/columbus-deluxe-19-flooring-central-c/6967329797.html,2019-09-23,12:12,$624,None,True,None,2,828ft2
Alabama,auburn,auburn,apts/housing for rent,6984813837,None,"Newly renovated 1 Bedroom, 1 Bathroom Apartment for Rent!",https://auburn.craigslist.org/apa/d/auburn-newly-renovated-1-bedroom-1/6984813837.html,2019-09-23,11:54,$1115,"1322 N Dean Road Auburn, AL",True,None,1,756ft2
Alabama,auburn,auburn,apts/housing for rent,6964745659,None,"1933 Windway Rd., Auburn AL for RENT",https://auburn.craigslist.org/apa/d/auburn-1933-windway-rd-auburn-al-for/6964745659.html,2019-09-23,11:48,$2200,"Auburn, AL",True,None,4,2865ft2
Alabama,auburn,auburn,apts/housing for rent,6979778812,None,"Deluxe 19 Flooring, Central A/C.",https://auburn.craigslist.org/apa/d/columbus-deluxe-19-flooring-central-c/6979778812.html,2019-09-23,11:38,$660,None,True,None,2,828ft2
Alabama,auburn,auburn,apts/housing for rent,6980194272,None,"2 fenced in pet areas, Tanning bed, Wood flooring",https://auburn.craigslist.org/apa/d/auburn-university-2-fenced-in-pet-areas/6980194272.html,2019-09-23,11:29,$695,None,True,None,2,None
Alabama,auburn,auburn,apts/housing for rent,6980515390,None,"Wood flooring, Online payments available, Dishwasher",https://auburn.craigslist.org/apa/d/auburn-university-wood-flooring-online/6980515390.html,2019-09-23,11:15,$725,None,True,None,2,None
Alabama,auburn,auburn,apts/housing for rent,6984706440,None,MOVE IN TOMORROW,https://auburn.craigslist.org/apa/d/auburn-move-in-tomorrow/6984706440.html,2019-09-23,11:11,$359,Auburn,True,None,3,1260ft2
Alabama,auburn,auburn,apts/housing for rent,6984765272,None,Beautiful 1 bed/1 bath only 1.4 miles from campus!!!,https://auburn.craigslist.org/apa/d/auburn-beautiful-1-bed-1-bath-only-14/6984765272.html,2019-09-23,11:07,$820,None,True,None,1,600ft2
Alabama,auburn,auburn,apts/housing for rent,6984757093,None,"Renovated 3 Bedroom, 2.5 Bathroom Apartment for Rent!",https://auburn.craigslist.org/apa/d/auburn-renovated-3-bedroom-25-bathroom/6984757093.html,2019-09-23,10:59,$1355,"1322 N Dean Road Auburn, AL",True,None,3,1230ft2
Alabama,auburn,auburn,apts/housing for rent,6984751338,None,Move in Ready !!!,https://auburn.craigslist.org/apa/d/auburn-move-in-ready/6984751338.html,2019-09-23,10:53,$925,None,True,None,2,900ft2
Alabama,auburn,auburn,apts/housing for rent,6984738991,None,Beautiful 3 Bedroom only 1.4 miles from Campus!!!,https://auburn.craigslist.org/apa/d/auburn-beautiful-3-bedroom-only-14/6984738991.html,2019-09-23,10:41,$1025,None,True,None,3,1100ft2
Alabama,auburn,auburn,apts/housing for rent,6984724684,None,"Resort-style pool, Tanning bed, Basketball court",https://auburn.craigslist.org/apa/d/auburn-university-resort-style-pool/6984724684.html,2019-09-23,10:39,$960,None,True,None,1,None
Alabama,auburn,auburn,apts/housing for rent,6984735330,None,"Newly Renovated 2 Bed, 1 Bath",https://auburn.craigslist.org/apa/d/auburn-newly-renovated-2-bed-1-bath/6984735330.html,2019-09-23,10:37,$805,None,True,None,2,860ft2
Alabama,auburn,auburn,apts/housing for rent,6984732422,None,Newly Renovated,https://auburn.craigslist.org/apa/d/auburn-newly-renovated/6984732422.html,2019-09-23,10:34,$795,None,True,None,1,580ft2
Alabama,auburn,auburn,apts/housing for rent,6984729323,None,"2 Bed, 1bed only 1.4 miles from Campus!!!",https://auburn.craigslist.org/apa/d/auburn-2-bed-1bed-only-14-miles-from/6984729323.html,2019-09-23,10:31,$805,None,True,None,2,860ft2
Alabama,auburn,auburn,apts/housing for rent,6984726863,None,Beautiful 1 bed/1 bath close to campus!!!,https://auburn.craigslist.org/apa/d/auburn-beautiful-1-bed-1-bath-close-to/6984726863.html,2019-09-23,10:28,$820,None,True,None,1,600ft2
Alabama,auburn,auburn,apts/housing for rent,6983431914,None,"High Speed Internet Access!  Cable is included in Rent, Oven",https://auburn.craigslist.org/apa/d/columbus-high-speed-internet-access/6983431914.html,2019-09-23,10:25,$530,None,True,None,1,641ft2
Alabama,auburn,auburn,apts/housing for rent,6984722923,None,"2 Bed, 2 Bath Move in READY!!!",https://auburn.craigslist.org/apa/d/auburn-2-bed-2-bath-move-in-ready/6984722923.html,2019-09-23,10:24,$925,None,True,None,2,900ft2
Alabama,auburn,auburn,apts/housing for rent,6984707695,None,MOVE IN TOMORROW,https://auburn.craigslist.org/apa/d/auburn-move-in-tomorrow/6984707695.html,2019-09-23,10:18,$524,Auburn,True,None,2,988ft2
Alabama,auburn,auburn,apts/housing for rent,6984706861,None,"GET 2,000 WHEN YOU SIGN",https://auburn.craigslist.org/apa/d/auburn-get-2000-when-you-sign/6984706861.html,2019-09-23,10:15,$524,Auburn,True,None,2,988ft2
Alabama,auburn,auburn,apts/housing for rent,6984707422,None,IMMEDIATE MOVE INS AVAILABLE,https://auburn.craigslist.org/apa/d/auburn-immediate-move-ins-available/6984707422.html,2019-09-23,10:15,$359,Auburn,True,None,3,1260ft2
Alabama,auburn,auburn,apts/housing for rent,6984706132,None,IMMEDIATE MOVE INS AVAILABLE,https://auburn.craigslist.org/apa/d/auburn-immediate-move-ins-available/6984706132.html,2019-09-23,10:14,$479,Auburn,True,None,2,988ft2
Alabama,auburn,auburn,apts/housing for rent,6982729687,None,"Deluxe 19 Flooring, Central A/C.",https://auburn.craigslist.org/apa/d/columbus-deluxe-19-flooring-central-c/6982729687.html,2019-09-23,09:02,$660,None,True,None,2,828ft2
Alabama,auburn,auburn,apts/housing for rent,6982813539,4879887740,Opelika  3BR/1BA Duplex,https://auburn.craigslist.org/apa/d/opelika-opelika-3br-1ba-duplex/6982813539.html,2019-09-23,08:27,$725,Opelika,True,None,3,980ft2
Alabama,auburn,auburn,apts/housing for rent,6982733729,None,Beautiful Country Living!!,https://auburn.craigslist.org/apa/d/columbus-beautiful-country-living/6982733729.html,2019-09-23,07:51,$660,None,True,None,2,828ft2
Alabama,auburn,auburn,apts/housing for rent,6982734650,None,Beautiful Country Living!!,https://auburn.craigslist.org/apa/d/columbus-beautiful-country-living/6982734650.html,2019-09-23,04:54,$660,None,True,None,2,828ft2
Alabama,auburn,auburn,apts/housing for rent,6982746960,None,Deluxe 19 Flooring,https://auburn.craigslist.org/apa/d/columbus-deluxe-19-flooring/6982746960.html,2019-09-23,02:50,$610,None,True,None,2,828ft2
Alabama,auburn,auburn,apts/housing for rent,6982739775,None,Beautiful Country Living!!,https://auburn.craigslist.org/apa/d/columbus-beautiful-country-living/6982739775.html,2019-09-23,00:47,$530,None,True,None,1,641ft2
Alabama,auburn,auburn,apts/housing for rent,6979733451,None,Beautiful Country Living!!,https://auburn.craigslist.org/apa/d/columbus-beautiful-country-living/6979733451.html,2019-09-22,22:46,$660,None,True,None,2,828ft2
Alabama,auburn,auburn,apts/housing for rent,6979994813,None,"Water, Sewer and Trash, Club Discount, Disability Access",https://auburn.craigslist.org/apa/d/auburn-university-water-sewer-and-trash/6979994813.html,2019-09-22,21:21,$349,None,True,None,4,1214ft2
Alabama,auburn,auburn,apts/housing for rent,6984390134,None,Affordable 3 B&2 Bath Apartment in,https://auburn.craigslist.org/apa/d/talladega-affordable-3-b2-bath/6984390134.html,2019-09-22,18:45,$1350,auburn,True,None,3,None
Alabama,auburn,auburn,apts/housing for rent,6982750699,None,Beautiful Country Living!!,https://auburn.craigslist.org/apa/d/columbus-beautiful-country-living/6982750699.html,2019-09-22,18:13,$688,None,True,None,3,1013ft2
Alabama,auburn,auburn,apts/housing for rent,6983078701,None,"Privacy fence select units, Basketball court, Tanning bed",https://auburn.craigslist.org/apa/d/auburn-university-privacy-fence-select/6983078701.html,2019-09-22,17:18,$910,None,True,None,1,None
Alabama,auburn,auburn,apts/housing for rent,6975727599,None,"Club Discount, Pets Allowed, TV Lounge",https://auburn.craigslist.org/apa/d/auburn-university-club-discount-pets/6975727599.html,2019-09-22,17:10,$349,None,True,None,4,1214ft2
Alabama,auburn,auburn,apts/housing for rent,6983021018,None,Beautiful Country Living!!,https://auburn.craigslist.org/apa/d/columbus-beautiful-country-living/6983021018.html,2019-09-22,16:04,$610,None,True,None,2,828ft2
Alabama,auburn,auburn,apts/housing for rent,6981161983,None,Beautiful Country Living!!,https://auburn.craigslist.org/apa/d/columbus-beautiful-country-living/6981161983.html,2019-09-22,14:02,$660,None,True,None,2,828ft2
Alabama,auburn,auburn,apts/housing for rent,6977024733,None,Call today and ask ow you can move in for $99!,https://auburn.craigslist.org/apa/d/auburn-university-call-today-and-ask-ow/6977024733.html,2019-09-22,13:37,$945,None,True,None,1,None
Alabama,auburn,auburn,apts/housing for rent,6965561959,None,Big yard 4 bedroom 2 bath  great views Tuskegee Institute Loachapoka,https://auburn.craigslist.org/apa/d/west-point-big-yard-4-bedroom-2-bath/6965561959.html,2019-09-22,12:17,$975,Lanett   Tuskegee,True,None,3,2062ft2
Alabama,auburn,auburn,apts/housing for rent,6976374870,None,"Deluxe 18 Flooring, Deluxe 18 Fridge",https://auburn.craigslist.org/apa/d/columbus-deluxe-18-flooring-deluxe-18/6976374870.html,2019-09-22,12:01,$545,None,True,None,1,641ft2
Alabama,auburn,auburn,apts/housing for rent,6973967613,None,2br - 912ft2 - Newly remodeled 2bed/2ba home in auburn $400,https://auburn.craigslist.org/apa/d/opelika-2br-912ft2-newly-remodeled-2bed/6973967613.html,2019-09-22,11:33,$400,None,True,None,None,None
