CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
North_Carolina,boone,boone,apa,6990715195,None,Beautiful 3 bedroom on sugar mountain,https://boone.craigslist.org/apa/d/henrietta-beautiful-3-bedroom-on-sugar/6990715195.html,2019-10-01,18:54,$1100,None,True,None,3,None
North_Carolina,boone,boone,apa,6990683770,None,Private retreat 7 acres cozy forestry cabin garage studio workshop,https://boone.craigslist.org/apa/d/jonas-ridge-private-retreat-7-acres/6990683770.html,2019-10-01,18:08,$1250,Jonas Ridge,True,None,1,1000ft2
North_Carolina,boone,boone,apa,6971550671,None,Lovely Log Home Near Linville,https://boone.craigslist.org/apa/d/crossnore-lovely-log-home-near-linville/6971550671.html,2019-10-01,17:32,$1200,Pineola,True,None,2,2244ft2
North_Carolina,boone,boone,apa,6989072255,None,Small 3 Bedroom 2 Bath House Near Linville,https://boone.craigslist.org/apa/d/crossnore-small-3-bedroom-2-bath-house/6989072255.html,2019-10-01,17:24,$800,Pineola,True,None,3,None
North_Carolina,boone,boone,apa,6990465192,None,Home for rent,https://boone.craigslist.org/apa/d/blowing-rock-home-for-rent/6990465192.html,2019-10-01,13:49,$2900,blowing Rock,False,None,5,3900ft2
North_Carolina,boone,boone,apa,6990411056,None,"2 BR in Banner Elk, NC",https://boone.craigslist.org/apa/d/banner-elk-2-br-in-banner-elk-nc/6990411056.html,2019-10-01,12:52,$1250,"Banner Elk, NC",True,None,2,800ft2
North_Carolina,boone,boone,apa,6990305002,None,~Boone-2 Bed 2 Bat apt/duplex in@$$,https://boone.craigslist.org/apa/d/boone-boone-2-bed-2-bat-apt-duplex-in/6990305002.html,2019-10-01,12:06,$875,"Boone, NC",True,None,2,None
North_Carolina,boone,boone,apa,6990317725,None,3 bedroom 2.5 bathroom home for rent,https://boone.craigslist.org/apa/d/vilas-3-bedroom-25-bathroom-home-for/6990317725.html,2019-10-01,11:10,$1500,Vilas,True,None,3,1700ft2
North_Carolina,boone,boone,apa,6985130247,None,MTN CITY /DOE VALLEY: CHARMING HOUSE ; 3 BEDROOM / 2 BATH WITH DEN,https://boone.craigslist.org/apa/d/mountain-city-mtn-city-doe-valley/6985130247.html,2019-10-01,10:36,$799,111 CARRIAGE LANE,True,None,3,1700ft2
North_Carolina,boone,boone,apa,6990115703,4879746341,1 BD at Nathan's Walk $660 per month,https://boone.craigslist.org/apa/d/1-bd-at-nathans-walk-660-per-month/6990115703.html,2019-09-30,23:15,$660,Boone,False,None,1,None
