CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
Oregon,portland,mlt,apa,6990746877,6853470690,Our pet friendly community has NO breed restrictions!,https://portland.craigslist.org/mlt/apa/d/portland-our-pet-friendly-community-has/6990746877.html,2019-10-01,16:46,$1625,16916 Se Powell Blvd\,True,None,3,1185ft2
Oregon,portland,mlt,apa,6990746245,6983789131,Make 56 Commons Your New Home- Amazing Location &Two Weeks Free!,https://portland.craigslist.org/mlt/apa/d/portland-make-56-commons-your-new-home/6990746245.html,2019-10-01,16:45,$1795,SW Portland/ Beaverton-Hillsdale HWY/ OHSU/Bridlemile,True,None,3,1100ft2
Oregon,portland,mlt,apa,6989294039,None,Richmond Flats TWO Bedroom! Text us to Tour TODAY! Check it Out NOW!,https://portland.craigslist.org/mlt/apa/d/portland-richmond-flats-two-bedroom/6989294039.html,2019-10-01,16:44,$1825,"SE Portland, SE Division, Caruthers",True,None,2,None
Oregon,portland,mlt,apa,6990745555,None,"Don't be the Grasshopper, because you cANT wait too late to move!",https://portland.craigslist.org/mlt/apa/d/fairview-dont-be-the-grasshopper/6990745555.html,2019-10-01,16:44,$1461,None,True,None,2,985ft2
Oregon,portland,mlt,apa,6981703348,6855886876,ASK ABOUT ANY SPECIALS! ||| 1 Bed Apt -- Come take a tour today!,https://portland.craigslist.org/mlt/apa/d/portland-ask-about-any-specials-1-bed/6981703348.html,2019-10-01,16:43,$1130,5230 SE 72nd Avenue,True,None,1,515ft2
Oregon,portland,mlt,apa,6990744686,None,1st Floor Beauty w/ Huge Walk In Closet & Patio!,https://portland.craigslist.org/mlt/apa/d/portland-1st-floor-beauty-huge-walk-in/6990744686.html,2019-10-01,16:42,$1683,Portland/NW Portland/Northwest Portland/Slabtown,True,None,1,742ft2
Oregon,portland,mlt,apa,6990744290,6985824685,Pet friendly w/ hardwood floors close to NW 23rd Ave & Public Transit,https://portland.craigslist.org/mlt/apa/d/portland-pet-friendly-hardwood-floors/6990744290.html,2019-10-01,16:41,$1406,"Portland, OR",True,None,1,629ft2
Oregon,portland,mlt,apa,6990743592,None,2x2 apartment with a private balcony overlooking the Pearl District,https://portland.craigslist.org/mlt/apa/d/portland-2x2-apartment-with-private/6990743592.html,2019-10-01,16:40,$2357,"Portland, OR",True,None,2,1013ft2
Oregon,portland,mlt,apa,6990743519,None,Light and bright unit,https://portland.craigslist.org/mlt/apa/d/portland-light-and-bright-unit/6990743519.html,2019-10-01,16:40,$1095,None,True,None,2,720ft2
Oregon,portland,mlt,apa,6990727132,6845179210,NEW SPECIALS | Come take a tour today! 2 Bedroom,https://portland.craigslist.org/mlt/apa/d/portland-new-specials-come-take-tour/6990727132.html,2019-10-01,16:37,$1450,5230 SE 72nd Avenue,True,None,2,None
Oregon,portland,mlt,apa,6990741378,None,Don't Let These Savings Get Away  Lock in your rate TODAY! SAVE $500!!!,https://portland.craigslist.org/mlt/apa/d/gresham-dont-let-these-savings-get-away/6990741378.html,2019-10-01,16:37,$1923,birdsdale,True,None,3,None
Oregon,portland,mlt,apa,6990741109,None,One of the most sought-after neighborhoods in Portland,https://portland.craigslist.org/mlt/apa/d/portland-one-of-the-most-sought-after/6990741109.html,2019-10-01,16:36,$2795,None,True,None,4,3296ft2
Oregon,portland,mlt,apa,6990740977,None,☼ Sunny and Bright! Newly Remodeled! Must SEE!,https://portland.craigslist.org/mlt/apa/d/portland-sunny-and-bright-newly/6990740977.html,2019-10-01,16:36,$1399,Portland,True,None,2,800ft2
Oregon,portland,mlt,apa,6990740427,None,You'll Never Need A Vacation with a View this Great!!,https://portland.craigslist.org/mlt/apa/d/portland-youll-never-need-vacation-with/6990740427.html,2019-10-01,16:35,$2990,Portland,True,None,2,1811ft2
Oregon,portland,mlt,apa,6987035024,6715837526,Bright One Bedroom in Goose Hollow! $750 Rent Credit!,https://portland.craigslist.org/mlt/apa/d/portland-bright-one-bedroom-in-goose/6987035024.html,2019-10-01,16:34,$1385,None,True,None,1,550ft2
Oregon,portland,mlt,apa,6990739343,None,2 bedroom 2 bathroom w/ washer/Dryer. Come see what makes Shadow Hills so great!,https://portland.craigslist.org/mlt/apa/d/portland-2-bedroom-2-bathroom-washer/6990739343.html,2019-10-01,16:33,$1565,Portland,True,None,2,875ft2
Oregon,portland,mlt,apa,6990739211,6987245293,"Great Deal! 1bd in heart of Nob Hill, walk to 23rd Ave, come by today",https://portland.craigslist.org/mlt/apa/d/portland-great-deal-1bd-in-heart-of-nob/6990739211.html,2019-10-01,16:33,$1406,"Portland, OR",True,None,1,629ft2
Oregon,portland,mlt,apa,6990739081,None,One Bedroom!!! Walking Distance To Restaurant And Parks!,https://portland.craigslist.org/mlt/apa/d/fairview-one-bedroom-walking-distance/6990739081.html,2019-10-01,16:33,$1380,Fairview,True,None,1,700ft2
Oregon,portland,mlt,apa,6990739029,6923166430,Awe-Inspiring Renovations and Private Patio,https://portland.craigslist.org/mlt/apa/d/portland-awe-inspiring-renovations-and/6990739029.html,2019-10-01,16:33,$1830,"NE Portland, Madison South, PDX Airport, Rose City Park, Nor",True,None,2,1042ft2
Oregon,portland,mlt,apa,6990738333,None,Second floor two bedroom with beautiful west facing views!,https://portland.craigslist.org/mlt/apa/d/portland-second-floor-two-bedroom-with/6990738333.html,2019-10-01,16:31,$2296,"Central Eastside, Belmont, Hawthorne, SE, Buckman",True,None,2,995ft2
Oregon,portland,mlt,apa,6990738140,6846161316,Call HawthornePDX Home With 4 Weeks Free Rent!,https://portland.craigslist.org/mlt/apa/d/portland-call-hawthornepdx-home-with-4/6990738140.html,2019-10-01,16:31,$1390,4717 SE Hawthorne Blvd,True,None,1,580ft2
Oregon,portland,mlt,apa,6990737820,None,Fully Upgraded Studio! Don't Wait - Last Studio Unit Available,https://portland.craigslist.org/mlt/apa/d/portland-fully-upgraded-studio-dont/6990737820.html,2019-10-01,16:31,$1445,Portland/NW Portland/Northwest Portland/Slabtown,True,None,None,511ft2
Oregon,portland,mlt,apa,6990737598,None,"Industrial Finish, Slab town, Gorgeous Location",https://portland.craigslist.org/mlt/apa/d/portland-industrial-finish-slab-town/6990737598.html,2019-10-01,16:30,$1699,Portland,True,None,1,530ft2
Oregon,portland,mlt,apa,6987960572,6977198180,Save $100 a Month -- Limited Time Offer!,https://portland.craigslist.org/mlt/apa/d/portland-save-100-month-limited-time/6987960572.html,2019-10-01,16:30,$1050,Downtown Portland,True,None,None,325ft2
Oregon,portland,mlt,apa,6990737369,None,In the heart of Sellwood/Moreland neighborhood,https://portland.craigslist.org/mlt/apa/d/portland-in-the-heart-of-sellwood/6990737369.html,2019-10-01,16:30,$2995,None,True,None,3,1556ft2
Oregon,portland,mlt,apa,6989279906,None,ONE Bedroom Apartment! Text us to Tour at Springwater Flats!,https://portland.craigslist.org/mlt/apa/d/portland-one-bedroom-apartment-text-us/6989279906.html,2019-10-01,16:30,$1395,"SE Portland, Sellwood, Moreland",True,None,1,None
Oregon,portland,mlt,apa,6990735688,None,"Why Wait? Portera Has An Active 55+Alive, Better Lifestyle!",https://portland.craigslist.org/mlt/apa/d/wilsonville-why-wait-portera-has-an/6990735688.html,2019-10-01,16:27,$2360,Wilsonville,True,None,2,1200ft2
Oregon,portland,mlt,apa,6990735619,None,One Bedroom Apartment Home with Balcony!,https://portland.craigslist.org/mlt/apa/d/portland-one-bedroom-apartment-home/6990735619.html,2019-10-01,16:27,$1640,"Portland, SE Portland, Joshn's Landing, Sellwood",True,None,1,770ft2
Oregon,portland,mlt,apa,6990735333,None,"Close to Downtown Portland, Shops, Restaurants & More!",https://portland.craigslist.org/mlt/apa/d/portland-close-to-downtown-portland/6990735333.html,2019-10-01,16:27,$3995,None,True,None,2,2074ft2
Oregon,portland,mlt,apa,6990722118,6725848107,1 BEDROOM AVAILABLE NOW! FREE RENT!!,https://portland.craigslist.org/mlt/apa/d/portland-1-bedroom-available-now-free/6990722118.html,2019-10-01,16:26,$1250,405 NE MASON ST,True,None,None,489ft2
Oregon,portland,mlt,apa,6990712318,6753668791,1 BEDROOM AVAILABLE NOW!,https://portland.craigslist.org/mlt/apa/d/portland-1-bedroom-available-now/6990712318.html,2019-10-01,16:26,$1450,33 N BEECH ST,True,None,1,550ft2
Oregon,portland,mlt,apa,6990733597,None,This home has it all and will not last!,https://portland.craigslist.org/mlt/apa/d/portland-this-home-has-it-all-and-will/6990733597.html,2019-10-01,16:24,$2895,None,True,None,3,2412ft2
Oregon,portland,mlt,apa,6990712763,6753668791,1 BEDROOM AVAILABLE NOW!,https://portland.craigslist.org/mlt/apa/d/portland-1-bedroom-available-now/6990712763.html,2019-10-01,16:22,$1450,33 N BEECH ST,True,None,1,550ft2
Oregon,portland,mlt,apa,6990732653,None,Furnished basement apartment available for short term rental,https://portland.craigslist.org/mlt/apa/d/portland-furnished-basement-apartment/6990732653.html,2019-10-01,16:22,$1100,PORTLAND,True,None,None,None
Oregon,portland,mlt,apa,6990732334,None,Gaga would go GAGA over this City View 1x1 w/ Balcony,https://portland.craigslist.org/mlt/apa/d/portland-gaga-would-go-gaga-over-this/6990732334.html,2019-10-01,16:22,$2261,Portland,True,None,1,919ft2
