CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
Connecticut,nwct,nwct,apa,6978802527,6319661818,Lovely Two Bedroom,https://nwct.craigslist.org/apa/d/lovely-two-bedroom/6978802527.html,2019-10-01,17:25,$950,Thomaston,True,None,2,850ft2
Connecticut,nwct,nwct,apa,6990612994,6059212517,I BR 1BA fully furnished $800 in New Preston / Washington,https://nwct.craigslist.org/apa/d/br-1ba-fully-furnished-800-in-new/6990612994.html,2019-10-01,16:36,$800,New Preston/Washington,True,None,1,700ft2
Connecticut,nwct,nwct,apa,6980417094,None,Rental short term- vacation,https://nwct.craigslist.org/apa/d/southbury-rental-short-term-vacation/6980417094.html,2019-10-01,16:35,$1400,None,True,None,3,1300ft2
Connecticut,nwct,nwct,apa,6977694594,6298965546,Two bedroom apt includes heat,https://nwct.craigslist.org/apa/d/two-bedroom-apt-includes-heat/6977694594.html,2019-10-01,14:39,$925,watertown,True,None,2,1100ft2
Connecticut,nwct,nwct,apa,6990493771,None,SPACIOUS 4 BEDROOM COLONIAL,https://nwct.craigslist.org/apa/d/newtown-spacious-4-bedroom-colonial/6990493771.html,2019-10-01,14:19,$2650,Newtown,True,None,4,2242ft2
Connecticut,nwct,nwct,apa,6990482660,None,"$0 DEPOSIT, $500 OFF RENT & $0 APP. FEE! Gorgeous 2 Bedroom with Loft",https://nwct.craigslist.org/apa/d/danbury-0-deposit-500-off-rent-0-app/6990482660.html,2019-10-01,14:08,$1900,DANBURY,True,None,2,1494ft2
Connecticut,nwct,nwct,apa,6982260885,None,"SMALL 3 BEDROOM. CAPE,W/ COMMERCIAL OUT BUILDING",https://nwct.craigslist.org/apa/d/torrington-small-3-bedroom-capew/6982260885.html,2019-10-01,14:06,$1400,TORRINGTON CT.,True,None,3,1400ft2
Connecticut,nwct,nwct,apa,6990480507,None,"$0 DEPOSIT, $500 OFF RENT & $0 APP. FEE! - 1 Bedroom Loft",https://nwct.craigslist.org/apa/d/danbury-0-deposit-500-off-rent-0-app/6990480507.html,2019-10-01,14:05,$1600,DANBURY,True,None,1,992ft2
Connecticut,nwct,nwct,apa,6990477710,None,"$0 DEPOSIT, $500 OFF RENT & $0 APP. FEE 3 Bed.- Perfect for Roommates!",https://nwct.craigslist.org/apa/d/danbury-0-deposit-500-off-rent-0-app/6990477710.html,2019-10-01,14:02,$1950,DANBURY,True,None,3,1313ft2
Connecticut,nwct,nwct,apa,6990472809,None,"$0 DEPOSIT, $500 OFF RENT & $0 APP. FEE! Special Gorgeous 2 Bedroom",https://nwct.craigslist.org/apa/d/danbury-0-deposit-500-off-rent-0-app/6990472809.html,2019-10-01,13:57,$1770,DANBURY,True,None,2,1165ft2
