CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
Utah,ogden,ogden,apa,6990746434,None,"LOCATION, LOCATION, LOCATION! ONE OF THE MANY GREAT THINGS ABOUT US!",https://ogden.craigslist.org/apa/d/ogden-location-location-location-one-of/6990746434.html,2019-10-01,17:45,$1005,Ogden,True,None,2,975ft2
Utah,ogden,ogden,apa,6987856473,None,"Refrigerator, Fitness Center, Laundry Facility",https://ogden.craigslist.org/apa/d/ogden-refrigerator-fitness-center/6987856473.html,2019-10-01,17:22,$700,None,True,None,1,600ft2
Utah,ogden,ogden,apa,6990651480,None,"Solid home, cosmetic fixer!Newer gas furnace",https://ogden.craigslist.org/apa/d/ogden-solid-home-cosmetic-fixernewer/6990651480.html,2019-10-01,17:03,$335,ogden,True,None,None,None
Utah,ogden,ogden,apa,6990651430,None,"Beautiful, bright & spacious Home.",https://ogden.craigslist.org/apa/d/ogden-beautiful-bright-spacious-home/6990651430.html,2019-10-01,16:53,$390,ogden,True,None,None,900ft2
Utah,ogden,ogden,apa,6990697706,None,Three Bedroom Two Bath Available in November!,https://ogden.craigslist.org/apa/d/hill-afb-three-bedroom-two-bath/6990697706.html,2019-10-01,16:28,$1390,Layton,True,None,3,1152ft2
Utah,ogden,ogden,apa,6990694693,None,"Mountain Views, Spacious Floor Plans, Bottom Floor",https://ogden.craigslist.org/apa/d/ogden-mountain-views-spacious-floor/6990694693.html,2019-10-01,16:24,$890,None,True,None,None,None
Utah,ogden,ogden,apa,6990686716,None,"Beauty, Passion, Breathtaking Apartments.",https://ogden.craigslist.org/apa/d/roy-beauty-passion-breathtaking/6990686716.html,2019-10-01,16:13,$1440,Roy,True,None,3,1236ft2
Utah,ogden,ogden,apa,6990686288,None,"Wonderful 801 sqft, 2 bed, 1 bath floorplan at Fort Lane",https://ogden.craigslist.org/apa/d/kaysville-wonderful-801-sqft-2-bed-1/6990686288.html,2019-10-01,16:12,$960,Layton,True,None,2,801ft2
Utah,ogden,ogden,apa,6990682041,None,Falling Leaves … Falling Prices! They’re Both Happening at Aderra!,https://ogden.craigslist.org/apa/d/roy-falling-leaves-falling-prices/6990682041.html,2019-10-01,16:06,$1335,Roy,True,None,2,1100ft2
Utah,ogden,ogden,apa,6990675442,None,Spectacular Views in Every Direction.,https://ogden.craigslist.org/apa/d/roy-spectacular-views-in-every-direction/6990675442.html,2019-10-01,15:57,$1230,Roy,True,None,1,772ft2
Utah,ogden,ogden,apa,6990669042,None,Where Luxury City Living Reaches New Heights.,https://ogden.craigslist.org/apa/d/roy-where-luxury-city-living-reaches/6990669042.html,2019-10-01,15:48,$1230,Roy,True,None,1,772ft2
Utah,ogden,ogden,apa,6988318317,None,The home has wood windows throughout.,https://ogden.craigslist.org/apa/d/roy-the-home-has-wood-windows-throughout/6988318317.html,2019-10-01,15:27,$800,"Roy, UT",True,None,3,2213ft2
Utah,ogden,ogden,apa,6990637929,None,Move In This Weekend! 2 Bed 1.25 Bath! Pet Friendly!,https://ogden.craigslist.org/apa/d/clearfield-move-in-this-weekend-2-bed/6990637929.html,2019-10-01,15:22,$1129,Layton,True,None,2,1064ft2
Utah,ogden,ogden,apa,6990629645,None,Come See What Is So Great About Us!,https://ogden.craigslist.org/apa/d/american-fork-come-see-what-is-so-great/6990629645.html,2019-10-01,15:18,$1529,American Fork,True,None,2,1182ft2
Utah,ogden,ogden,apa,6990622968,None,Spacious One Bedroom with Private Balcony,https://ogden.craigslist.org/apa/d/roy-spacious-one-bedroom-with-private/6990622968.html,2019-10-01,15:18,$930,"Riverdale, UT",True,None,1,740ft2
Utah,ogden,ogden,apa,6990636229,None,CALL NOW TO RESERVE A 2 BEDROOM IN OCTUBER !!!!,https://ogden.craigslist.org/apa/d/ogden-call-now-to-reserve-2-bedroom-in/6990636229.html,2019-10-01,15:05,$879,"Ogden, UT",True,None,2,870ft2
Utah,ogden,ogden,apa,6990627135,None,Top Floor! Two Bedroom Two Bath Available in December!,https://ogden.craigslist.org/apa/d/hill-afb-top-floor-two-bedroom-two-bath/6990627135.html,2019-10-01,14:54,$1275,Layton,True,None,None,1034ft2
Utah,ogden,ogden,apa,6982326350,6924841513,"7 bdrm, 3 bath, 2 kitchen Peaceful, Quiet HAFB Westwood Estates",https://ogden.craigslist.org/apa/d/clearfield-7-bdrm-3-bath-2-kitchen/6982326350.html,2019-10-01,14:35,$1700,"Westwood Estates, Clearfield, UT",True,None,4,3000ft2
Utah,ogden,ogden,apa,6984994789,None,"Clubhouse, Accepts Credit Card Payments, Fitness Center",https://ogden.craigslist.org/apa/d/ogden-clubhouse-accepts-credit-card/6984994789.html,2019-10-01,14:25,$1015,None,True,None,1,800ft2
Utah,ogden,ogden,apa,6990469499,None,3 bedroom 1.5 bath Won't last .,https://ogden.craigslist.org/apa/d/logan-3-bedroom-15-bath-wont-last/6990469499.html,2019-10-01,13:48,$1235,Corinne   Syracuse,True,None,3,1917ft2
Utah,ogden,ogden,apa,6990570236,None,"Hardwood Floor, Resident Referral Programs, Walk In closets",https://ogden.craigslist.org/apa/d/roy-hardwood-floor-resident-referral/6990570236.html,2019-10-01,13:45,$1179,West Haven,True,None,2,953ft2
Utah,ogden,ogden,apa,6990473326,None,WOW! Reduced price & Move in special! Call for details.,https://ogden.craigslist.org/apa/d/roy-wow-reduced-price-move-in-special/6990473326.html,2019-10-01,13:33,$907,"Riverdale, UT",True,None,2,830ft2
Utah,ogden,ogden,apa,6990556830,None,"Open the door to great living at Fort Lane. 2 bed, 1 bath!",https://ogden.craigslist.org/apa/d/kaysville-open-the-door-to-great-living/6990556830.html,2019-10-01,13:30,$960,Layton,True,None,2,None
Utah,ogden,ogden,apa,6990555496,None,2x2 Ready for Immediate Move In! Schedule a Tour Today!,https://ogden.craigslist.org/apa/d/roy-2x2-ready-for-immediate-move-in/6990555496.html,2019-10-01,13:28,$1110,West Haven,True,None,2,980ft2
Utah,ogden,ogden,apa,6990550430,None,$300 OFF Your Renovated 2 Bedroom Apartment!,https://ogden.craigslist.org/apa/d/ogden-300-off-your-renovated-2-bedroom/6990550430.html,2019-10-01,13:22,$935,None,True,None,None,None
