CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
Louisiana,shreveport,shreveport,apa,6977963159,None,"Fully Furnished, Guest Laundromat on Site, No Long-Term Lease Required",https://shreveport.craigslist.org/apa/d/bossier-city-fully-furnished-guest/6977963159.html,2019-10-01,18:45,$251,"barksdale, medical, shopping. I-20",True,None,1,None
Louisiana,shreveport,shreveport,apa,6990721686,None,"Fully Furnished Apartments, Free Premium Cable TV, Bed Credit OK",https://shreveport.craigslist.org/apa/d/shreveport-fully-furnished-apartments/6990721686.html,2019-10-01,18:45,$179,None,True,None,1,None
Louisiana,shreveport,shreveport,apa,6990713838,None,MOVE IN READY. CALL TO MOVE IN TODAY! AFFORDABLE PRICES,https://shreveport.craigslist.org/apa/d/shreveport-move-in-ready-call-to-move/6990713838.html,2019-10-01,18:15,$1102,SHREVEPORT,True,None,2,1097ft2
Louisiana,shreveport,shreveport,apa,6990713447,None,Its Always Saturday At Champion Lake!!!,https://shreveport.craigslist.org/apa/d/shreveport-its-always-saturday-at/6990713447.html,2019-10-01,17:52,$905,"Shreveport, LA",True,None,2,1001ft2
Louisiana,shreveport,shreveport,apa,6990707175,None,SPECIAL-1/2 OFF DEPOSIT & 1/2 OFF NOVEMBER RENT,https://shreveport.craigslist.org/apa/d/shreveport-special-1-2-off-deposit-1-2/6990707175.html,2019-10-01,17:42,$665,4650 Lakeshore Dr,True,None,2,927ft2
Louisiana,shreveport,shreveport,apa,6980735748,None,"Newly Remodeled, Fully Furnished, No Credit Check, flexible Payments",https://shreveport.craigslist.org/apa/d/bossier-city-newly-remodeled-fully/6980735748.html,2019-10-01,17:41,$251,"barksdale, medical, shopping. I-20",True,None,1,None
Louisiana,shreveport,shreveport,apa,6981261888,6840326677,Live in Historic Highland,https://shreveport.craigslist.org/apa/d/shreveport-live-in-historic-highland/6981261888.html,2019-10-01,17:29,$500,Very Convenient,True,None,1,1200ft2
Louisiana,shreveport,shreveport,apa,6990651421,None,"Onsite Laundry Facility, Sparkling Pool, No Long Term Lease Required",https://shreveport.craigslist.org/apa/d/shreveport-onsite-laundry-facility/6990651421.html,2019-10-01,17:23,$179,None,True,None,1,None
Louisiana,shreveport,shreveport,apa,6987871290,None,"Bed Credit OK, High-Speed Internet Access Available, Sparkling Pool",https://shreveport.craigslist.org/apa/d/shreveport-bed-credit-ok-high-speed/6987871290.html,2019-10-01,17:17,$179,None,True,None,1,None
Louisiana,shreveport,shreveport,apa,6971473330,None,Available Now 4/3 Single Family  Home,https://shreveport.craigslist.org/apa/d/shreveport-available-now-4-3-single/6971473330.html,2019-10-01,16:55,$1500,Broadmoor Terrace,True,None,4,None
Louisiana,shreveport,shreveport,apa,6990662714,None,SPECIAL-1/2 OFF DEPOSIT & 1/2 OFF NOVEMBER RENT,https://shreveport.craigslist.org/apa/d/shreveport-special-1-2-off-deposit-1-2/6990662714.html,2019-10-01,16:40,$725,4650 Lakeshore Dr,True,None,2,1005ft2
Louisiana,shreveport,shreveport,apa,6990656562,None,Amazing Opportunity to Live in Bossier City *FIRST MONTH FREE,https://shreveport.craigslist.org/apa/d/bossier-city-amazing-opportunity-to/6990656562.html,2019-10-01,16:32,$590,None,True,None,1,840ft2
Louisiana,shreveport,shreveport,apa,6973448613,None,"Flat Screen TVs, Pet Friendly, Tours Daily, Near BAFB and I20",https://shreveport.craigslist.org/apa/d/bossier-city-flat-screen-tvs-pet/6973448613.html,2019-10-01,16:30,$251,"barksdale, medical, shopping. I-20",True,None,1,None
Louisiana,shreveport,shreveport,apa,6990652342,None,DOWNSTAIRS!!!!!,https://shreveport.craigslist.org/apa/d/bossier-city-downstairs/6990652342.html,2019-10-01,16:26,$1033,Bossier City,True,None,2,1083ft2
Louisiana,shreveport,shreveport,apa,6990649349,None,Limited-Time Offer! See Details,https://shreveport.craigslist.org/apa/d/bossier-city-limited-time-offer-see/6990649349.html,2019-10-01,16:22,$675,None,True,None,2,1080ft2
Louisiana,shreveport,shreveport,apa,6990637091,None,Now Leasing,https://shreveport.craigslist.org/apa/d/bossier-city-now-leasing/6990637091.html,2019-10-01,16:06,$958,Bossier City,True,None,1,845ft2
Louisiana,shreveport,shreveport,apa,6990635228,None,Space Galore in Spring Lake!,https://shreveport.craigslist.org/apa/d/shreveport-space-galore-in-spring-lake/6990635228.html,2019-10-01,16:04,$1015,Shreveport,True,None,2,None
Louisiana,shreveport,shreveport,apa,6990633452,None,$199 MOVE-IN SPECIAL!!!,https://shreveport.craigslist.org/apa/d/shreveport-199-move-in-special/6990633452.html,2019-10-01,16:01,$660,71104,True,None,2,900ft2
Louisiana,shreveport,shreveport,apa,6987878047,None,"Access gate, Controlled building access, Large pool (Olympic size)",https://shreveport.craigslist.org/apa/d/shreveport-access-gate-controlled/6987878047.html,2019-10-01,15:57,$641,None,True,None,1,634ft2
Louisiana,shreveport,shreveport,apa,6990541145,None,2 Bedroom/1 Bathroom Completely Upgraded!,https://shreveport.craigslist.org/apa/d/shreveport-2-bedroom-1-bathroom/6990541145.html,2019-10-01,15:50,$658,"Baltimore Ave, Shreveport, LA",True,None,2,None
Louisiana,shreveport,shreveport,apa,6983015315,6867827114,Nice 3 bedroom manufactured,https://shreveport.craigslist.org/apa/d/grand-cane-nice-3-bedroom-manufactured/6983015315.html,2019-10-01,15:41,$625,Grand Cane / Mansfield La,True,None,3,1200ft2
Louisiana,shreveport,shreveport,apa,6985972959,6917793666,Nice 2 bedroom manufactured Home,https://shreveport.craigslist.org/apa/d/grand-cane-nice-2-bedroom-manufactured/6985972959.html,2019-10-01,15:41,$475,Grand Cane / Mansfield La,True,None,2,1000ft2
Louisiana,shreveport,shreveport,apa,6987541046,None,Private and quiet area 3 bedroom 1.5 bath  Cement Siding Emerson Marie,https://shreveport.craigslist.org/apa/d/douglassville-private-and-quiet-area-3/6987541046.html,2019-10-01,15:37,$1213,Panola or Haughton,True,None,5,1907ft2
Louisiana,shreveport,shreveport,apa,6984793990,None,Quiet location 3 bedroom 2 bathrooms  appliances Elm Grove Beckville,https://shreveport.craigslist.org/apa/d/clayton-quiet-location-3-bedroom-2/6984793990.html,2019-10-01,15:36,$1050,Atlanta   Jefferson,False,None,4,1816ft2
