CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
Missouri,stjoseph,stjoseph,apa,6990682986,None,Come in as a stranger and stay as a neighbor! 1 Bed/1 Bath/700 SqFt,https://stjoseph.craigslist.org/apa/d/saint-joseph-come-in-as-stranger-and/6990682986.html,2019-10-01,17:07,$604,Saint Joseph,True,None,None,700ft2
Missouri,stjoseph,stjoseph,apa,6990613511,None,"All the comforts of home - at a great low price! 2 bed, 2 bath!",https://stjoseph.craigslist.org/apa/d/saint-joseph-all-the-comforts-of-home/6990613511.html,2019-10-01,15:37,$743,3601 Gene Field Rd,True,None,None,900ft2
Missouri,stjoseph,stjoseph,apa,6990516201,None,3 Bedroom House,https://stjoseph.craigslist.org/apa/d/saint-joseph-3-bedroom-house/6990516201.html,2019-10-01,13:43,$850,Saint Joseph,True,None,3,1200ft2
Missouri,stjoseph,stjoseph,apa,6990414033,6351143926,Fall Is Beautiful In Deer Park! 3 Bed 2 Bath,https://stjoseph.craigslist.org/apa/d/fall-is-beautiful-in-deer-park-3-bed-2/6990414033.html,2019-10-01,12:01,$810,2216 S. Leonard Rd.,True,None,3,960ft2
Missouri,stjoseph,stjoseph,apa,6974818837,6889735748,Live In Deer Park! 3 Bed 2Bath,https://stjoseph.craigslist.org/apa/d/saint-joseph-live-in-deer-park-3-bed/6974818837.html,2019-10-01,12:00,$810,2216 S. Leonard Rd.,True,None,3,960ft2
Missouri,stjoseph,stjoseph,apa,6990414118,None,Gorgeous Brand New Two Bedroom for Rent!,https://stjoseph.craigslist.org/apa/d/saint-joseph-gorgeous-brand-new-two/6990414118.html,2019-10-01,11:56,$810,ST. Joseph,True,None,2,644ft2
Missouri,stjoseph,stjoseph,apa,6990404596,6404197162,Hurry in before it  gets cold! The Meadows,https://stjoseph.craigslist.org/apa/d/saint-joseph-hurry-in-before-it-gets/6990404596.html,2019-10-01,11:45,$810,2216 S. Leonard Rd.,True,None,3,960ft2
Missouri,stjoseph,stjoseph,apa,6988523545,None,Cute 2 bedroom loft,https://stjoseph.craigslist.org/apa/d/saint-joseph-cute-2-bedroom-loft/6988523545.html,2019-10-01,10:40,$675,St Joseph,True,None,2,None
Missouri,stjoseph,stjoseph,apa,6974524345,None,Nice 3-4 bdrm house in great area with garage / basement,https://stjoseph.craigslist.org/apa/d/saint-joseph-nice-3-4-bdrm-house-in/6974524345.html,2019-10-01,10:11,$1250,St. Joseph,True,None,3,None
Missouri,stjoseph,stjoseph,apa,6990292398,None,1/2 off October and only $200 Deposit!!!,https://stjoseph.craigslist.org/apa/d/saint-joseph-1-2-off-october-and-only/6990292398.html,2019-10-01,09:40,$750,St Joseph,True,None,1,None
Missouri,stjoseph,stjoseph,apa,6990216305,None,you are in a tough situation ?? having eviction ?/ we can help,https://stjoseph.craigslist.org/apa/d/saint-joseph-you-are-in-tough-situation/6990216305.html,2019-10-01,09:18,$75,None,True,None,None,None
Missouri,stjoseph,stjoseph,apa,6990265360,None,Woof! Bark! Meow! Pets Allowed Here! Check us out!,https://stjoseph.craigslist.org/apa/d/saint-joseph-woof-bark-meow-pets/6990265360.html,2019-10-01,09:05,$786,St. Joseph,True,None,None,1125ft2
Missouri,stjoseph,stjoseph,apa,6975516336,None,5 Bedroom 2Bath 2Car Garage on Ashland Ave single family house,https://stjoseph.craigslist.org/apa/d/saint-joseph-5-bedroom-2bath-2car/6975516336.html,2019-10-01,08:38,$1295,"ashland ave, st joseph mo",True,None,None,None
