CL State,CL Region,CL District,Housing Category,Post ID,Repost of (Post ID),Title,URL,Date Posted,Time Posted,Price,Location,Post has Image,Post has Geotag,Bedrooms,Area
District_Of_Columbia,washingtondc,washingtondc,apa,6990757996,None,Brand New Junior 2-Bedroom! Great Location! 2 MONTHS FREE RENT!,https://washingtondc.craigslist.org/nva/apa/d/arlington-brand-new-junior-2-bedroom/6990757996.html,2019-10-01,20:05,$2299,None,True,None,2,826ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990757636,None,ONE MONTH FREE AND ONE YEAR OF FREE PARKING WHEN YOU LEASE AT THE THORNTON!,https://washingtondc.craigslist.org/nva/apa/d/alexandria-one-month-free-and-one-year/6990757636.html,2019-10-01,20:04,$2219,None,True,None,1,684ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990722737,6848063040,2 Months Free Rent Spacious Move in Ready 2 Bed in Navy Yard!!!,https://washingtondc.craigslist.org/doc/apa/d/washington-2-months-free-rent-spacious/6990722737.html,2019-10-01,20:04,$3275,"Washington, Dc",True,None,2,1010ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990756889,4452067945,Condo Across the Street from the Vienna Metro -,https://washingtondc.craigslist.org/nva/apa/d/vienna-condo-across-the-street-from-the/6990756889.html,2019-10-01,20:03,$2100,Vienna,True,None,2,1257ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990753940,None,"Patio or balcony available, Gas cooking, Gas heat",https://washingtondc.craigslist.org/mld/apa/d/hyattsville-patio-or-balcony-available/6990753940.html,2019-10-01,20:03,$1300,None,True,None,1,787ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6976734164,6943417262,LOVELY TOWNHOUSE FOR RENT NEAR METRO - CAN BIKE OR WALK,https://washingtondc.craigslist.org/mld/apa/d/derwood-lovely-townhouse-for-rent-near/6976734164.html,2019-10-01,20:03,$2200,"Rockville, MD",True,None,4,None
District_Of_Columbia,washingtondc,washingtondc,apa,6982176714,None,"2 bed- Valet Waste Front Door Trash Service, Dishwasher, Garages",https://washingtondc.craigslist.org/nva/apa/d/herndon-2-bed-valet-waste-front-door/6982176714.html,2019-10-01,20:03,$1795,None,True,None,2,1165ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6976736608,6923332241,$2200/ 4BR - TOWNHOUSE FOR RENT NEAR METRO WITH FREE PARKING,https://washingtondc.craigslist.org/mld/apa/d/derwood-br-townhouse-for-rent-near/6976736608.html,2019-10-01,20:02,$2200,"Rockville, MD",True,None,4,None
District_Of_Columbia,washingtondc,washingtondc,apa,6985629858,None,"Community Garden, Swimming Pool & Sundeck, Central Air Conditioning",https://washingtondc.craigslist.org/nva/apa/d/columbia-community-garden-swimming-pool/6985629858.html,2019-10-01,20:02,$1589,None,True,None,1,940ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6978068958,6864382866,Special Price For 2 Bedroom for $1425,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-special-price-for-2-bedroom/6978068958.html,2019-10-01,20:01,$1425,None,True,None,2,947ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990755757,6925091264,Relax in the Country,https://washingtondc.craigslist.org/nva/apa/d/madison-relax-in-the-country/6990755757.html,2019-10-01,20:01,$2250,Madison,True,None,4,3150ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990742254,3608315994,Remodeled 2BR 2BH  Condo - Water Included,https://washingtondc.craigslist.org/mld/apa/d/germantown-remodeled-2br-2bh-condo/6990742254.html,2019-10-01,20:01,$1495,"Germantown, MD",True,None,2,1066ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6986560255,None,"LOCATION LOCATION LOCATION! HEART OF RESTON, CLOSE TO SHOPPING",https://washingtondc.craigslist.org/nva/apa/d/reston-location-location-location-heart/6986560255.html,2019-10-01,19:59,$1405,None,True,None,1,None
District_Of_Columbia,washingtondc,washingtondc,apa,6985619986,None,One bedroom apartment in single family house for rent,https://washingtondc.craigslist.org/nva/apa/d/ashburn-one-bedroom-apartment-in-single/6985619986.html,2019-10-01,19:59,$1250,Ashburn,True,None,1,1100ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990753311,None,Easy Access to Public Transportation,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-easy-access-to-public/6990753311.html,2019-10-01,19:57,$1900,None,True,None,3,1160ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6978395383,None,Basement on rent in single family home,https://washingtondc.craigslist.org/nva/apa/d/woodbridge-basement-on-rent-in-single/6978395383.html,2019-10-01,19:56,$900,Woodbridge,True,None,1,816ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6987956355,None,"Vinyl Flooring, All-New Windows, Weekend Farmer's Market",https://washingtondc.craigslist.org/nva/apa/d/alexandria-vinyl-flooring-all-new/6987956355.html,2019-10-01,19:56,$2500,None,True,None,3,1250ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990751829,None,"Laundry centers in each building, Playground, Spacious closets",https://washingtondc.craigslist.org/mld/apa/d/hyattsville-laundry-centers-in-each/6990751829.html,2019-10-01,19:54,$1300,None,True,None,1,790ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990751154,None,"Basketball court, Ample parking, Laundry centers in each building",https://washingtondc.craigslist.org/mld/apa/d/hyattsville-basketball-court-ample/6990751154.html,2019-10-01,19:53,$1300,None,True,None,1,787ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6980754309,None,"Outdoor Living Area, Garage & Street Parking, Controlled Access",https://washingtondc.craigslist.org/mld/apa/d/silver-spring-outdoor-living-area/6980754309.html,2019-10-01,19:53,$1615,Downtown Silver Spring,True,None,1,900ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6984888304,None,Falling Prices At Cityside!!,https://washingtondc.craigslist.org/nva/apa/d/alexandria-falling-prices-at-cityside/6984888304.html,2019-10-01,19:52,$1255,"Alexandria ,VA",True,None,None,366ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990750198,6234310819,Beautiful 4BD/2BA House in Falls Church,https://washingtondc.craigslist.org/nva/apa/d/beautiful-4bd-2ba-house-in-falls-church/6990750198.html,2019-10-01,19:52,$2450,"Falls Church, VA",True,None,4,1501ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6977910611,None,"Laundry Facilities, Stainless Steel Appliances, Designer Cabintery",https://washingtondc.craigslist.org/mld/apa/d/hyattsville-laundry-facilities/6977910611.html,2019-10-01,19:51,$1295,None,True,None,2,630ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990749879,None,2 bdrm Apt  Chevy chase,https://washingtondc.craigslist.org/doc/apa/d/chevy-chase-2-bdrm-apt-chevy-chase/6990749879.html,2019-10-01,19:51,$2725,Friendship heights,False,None,2,1300ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6976496041,None,"Full Size Washer and Dryer, Oversized Windows, Controlled Access",https://washingtondc.craigslist.org/nva/apa/d/woodbridge-full-size-washer-and-dryer/6976496041.html,2019-10-01,19:50,$2195,None,True,None,2,1065ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6986575435,None,Fall in Love with you New Home!!!,https://washingtondc.craigslist.org/nva/apa/d/falls-church-fall-in-love-with-you-new/6986575435.html,2019-10-01,19:49,$0,Falls Church,True,None,1,801ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6985033992,None,"Disposal, Breakfast Bar , On-Site Maintenance",https://washingtondc.craigslist.org/nva/apa/d/fairfax-disposal-breakfast-bar-on-site/6985033992.html,2019-10-01,19:49,$1949,None,True,None,3,1131ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6978778860,6463954271,1 Bed with great sunlight exposure,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-1-bed-with-great-sunlight/6978778860.html,2019-10-01,19:48,$1299,None,True,None,1,None
District_Of_Columbia,washingtondc,washingtondc,apa,6990747981,6941037268,Room for Rent,https://washingtondc.craigslist.org/nva/apa/d/alexandria-room-for-rent/6990747981.html,2019-10-01,19:48,$950,Alexandria,True,None,2,1500ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6989280218,None,"Large swimming pool, Laundry centers in each building, Gas cooking",https://washingtondc.craigslist.org/mld/apa/d/hyattsville-large-swimming-pool-laundry/6989280218.html,2019-10-01,19:48,$1300,None,True,None,1,790ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6985927420,4769689281,Basement Apt w/ Living rm and bedroom and private bath,https://washingtondc.craigslist.org/doc/apa/d/bowie-basement-apt-living-rm-and/6985927420.html,2019-10-01,19:47,$1050,Bowie,True,None,1,700ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990747574,None,Nice 2BR/1BA Colonial Village unit for rent!,https://washingtondc.craigslist.org/nva/apa/d/arlington-nice-2br-1ba-colonial-village/6990747574.html,2019-10-01,19:47,$2500,Arlington,True,None,2,869ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990722961,6889195563,Fall Into Your New Lease All Utilities Inc 2 Bed in Woodley Park!!!,https://washingtondc.craigslist.org/doc/apa/d/washington-fall-into-your-new-lease-all/6990722961.html,2019-10-01,19:47,$2955,"Washington, Dc",True,None,2,940ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6984013860,None,"LARGE 2 CAR GARAGE 3 MASTER BED/3.5 BATH, HARDWOOD FLOORS, AVAIL NOW",https://washingtondc.craigslist.org/nva/apa/d/falls-church-large-2-car-garage-3/6984013860.html,2019-10-01,19:46,$2775,Falls Church,True,None,3,1814ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990746444,None,"Rooftop Lounge, Perfect Location, Professionally Managed",https://washingtondc.craigslist.org/doc/apa/d/washington-rooftop-lounge-perfect/6990746444.html,2019-10-01,19:45,$2425,Glover Park,True,None,1,591ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990746034,None,"Laundry Care Center, Convenient Location, Open Now",https://washingtondc.craigslist.org/doc/apa/d/washington-laundry-care-center/6990746034.html,2019-10-01,19:45,$6070,Glover Park,True,None,4,1471ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990745830,5975409049,"2 BED/2 BATH, FIRST FLOOR/PATIO/AC/H ROOM/FREE POOL",https://washingtondc.craigslist.org/nva/apa/d/2-bed-2-bath-first-floor-patio-ac-room/6990745830.html,2019-10-01,19:44,$1800,Gaithersburg,True,None,2,1050ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990744395,None,Pallas PENTHOUSE 1 BR + DEN ....ALL Utilities + 1 RESERVED Parking Space Include,https://washingtondc.craigslist.org/mld/apa/d/rockville-pallas-penthouse-1-br-den-all/6990744395.html,2019-10-01,19:42,$4892,Pike and Rose,True,None,1,None
District_Of_Columbia,washingtondc,washingtondc,apa,6977339285,None,Detached single-family Colonial-style home in Chevy Chase for less tha,https://washingtondc.craigslist.org/nva/apa/d/washington-detached-single-family/6977339285.html,2019-10-01,19:42,$900,"3803 Legation St NW Washington, DC",True,None,3,1716ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6990744246,None,A Gorgeous 6th FL 2Br/2Ba Montclarion w/ Great Apt Amenities and More.,https://washingtondc.craigslist.org/doc/apa/d/chevy-chase-gorgeous-6th-fl-2br-2ba/6990744246.html,2019-10-01,19:41,$2955,4903 Edgemoor Lane,True,None,2,1118ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6977338446,None,Detached single-family Colonial-style home in Chevy Chase for less tha,https://washingtondc.craigslist.org/nva/apa/d/washington-detached-single-family/6977338446.html,2019-10-01,19:41,$900,"3803 Legation St NW Washington, DC",True,None,3,1716ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6986178089,None,"Breakfast bar, Wood-burning fireplace, Huge walk-in closets",https://washingtondc.craigslist.org/mld/apa/d/upper-marlboro-breakfast-bar-wood/6986178089.html,2019-10-01,19:40,$1488,None,True,None,1,766ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6986551118,None,"1B/1B, Onsite Laundry Facility, close to Route 28",https://washingtondc.craigslist.org/nva/apa/d/herndon-1b-1b-onsite-laundry-facility/6986551118.html,2019-10-01,19:40,$1527,None,True,None,1,None
District_Of_Columbia,washingtondc,washingtondc,apa,6990709975,6758411828,Great Deal On This 2 Bed To Move In Soon!,https://washingtondc.craigslist.org/doc/apa/d/washington-great-deal-on-this-2-bed-to/6990709975.html,2019-10-01,19:39,$2770,Petworth,True,None,2,None
District_Of_Columbia,washingtondc,washingtondc,apa,6980505052,6928057560,Get it while it's hot- Spacious Studio Apt.  Ready Now!!,https://washingtondc.craigslist.org/nva/apa/d/alexandria-get-it-while-its-hot/6980505052.html,2019-10-01,19:38,$1183,"Mark Center, Park Shirlington.",True,None,None,535ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6987689164,None,"Weekly Farmers Market On-site, Business Center, Best location",https://washingtondc.craigslist.org/nva/apa/d/annandale-weekly-farmers-market-on-site/6987689164.html,2019-10-01,19:38,$1814,"Annandale near Fairfax, Falls Church, Alexandria",True,None,2,1133ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6983470150,None,"Game room, 24-hour fitness center, 9’ ceilings throughout your home",https://washingtondc.craigslist.org/nva/apa/d/falls-church-game-room-24-hour-fitness/6983470150.html,2019-10-01,19:38,$2685,None,True,None,2,1132ft2
District_Of_Columbia,washingtondc,washingtondc,apa,6983772821,None,"Basketball Court, Playground, Yoga Studio",https://washingtondc.craigslist.org/mld/apa/d/temple-hills-basketball-court/6983772821.html,2019-10-01,19:37,$1618,None,True,None,2,1088ft2
